"First Row: Number of Stations. Section 1: Station Name, Usage, X-coordinate, Y-coordinate. Section 2 (Edges): Station A Name, Station B Name. NOTE: Omitted Mass Ave on Silver Line (repeat name), also St Paul's St on C-line",,,,,
299,,,,,
SaintLazare,44936936,2325610000,4887568400,,
SaintMande,6069483,2419019000,4884624100,,
SaintMarcel,2101575,2360416353,4883798838,,
SaintMichel,8695006,2343928814,4885365036,,
SaintPaul,6591103,2360859000,4885521400,,
SaintPhilippeduRoule,2840177,2310036421,4887194148,,
SaintPlacide,3278515,2326912880,4884684463,,
SaintSebastienFroissart,1804340,2367357910,4886047987,,
SaintSulpice,2532665,2330651879,4885090947,,
Segur,1735579,2306852639,4884743417,,
Sentier,3484652,2346387000,4886756900,,
SevresBabylone,5387363,2326655388,4885150955,,
SevresLecourbe,1992343,2309475839,4884563376,,
Simplon,2994372,2348201573,4889338082,,
Solferino,2534934,2323224843,4885824935,,
Stalingrad,7089762,2365824000,4888426300,,
StrasbourgSaintDenis,9967686,2354008555,4886959150,,
SullyMorland,1468391,2361894250,4885142483,,
Telegraphe,2465718,2398433983,4887546271,,
Temple,1222777,2360595000,4886648800,,
Ternes,3833182,2298671000,4887817800,,
Tolbiac,3419771,2357678000,4882666500,,
Trinited'Estienned'Orves,2302331,2333197296,4887630241,,
Trocadero,9516364,2287060618,4886330141,,
Tuileries,2877169,2329617000,4886453100,,
Vaneau,959858,2321556509,4884894681,,
Varenne,1552036,2314920723,4885623757,,
Vaugirard,3850737,2301491000,4883964900,,
Vavin,2308243,2328948677,4884223223,,
VictorHugo,3870906,2285199000,4886981700,,
VillejuifLeoLagrange,2545252,2363927364,4880376846,,
VillejuifLouisAragon,6360814,2367564440,4878717548,,
VillejuifPaulVaillantCouturier,2244984,2368248403,4879599124,,
Villiers,6257050,2314867079,4888113039,,
Volontaires,2610342,2307504416,4884134253,,
Voltaire,5217446,2380106449,4885780289,,
Wagram,2575870,2303668000,4888405700,,
Abbesses,LamarckCaulaincourt,,,,
Abbesses,Pigalle,,,,
Alesia,MoutonDuvernet,,,,
Alesia,Ported'Orleans,,,,
AlexandreDumas,Avron,,,,
AlexandreDumas,PhilippeAuguste,,,,
AlmaMarceau,FranklinD.Roosevelt,,,,
AlmaMarceau,Iena,,,,
AnatoleFrance,LouiseMichel,,,,
AnatoleFrance,PontdeLevalloisBecon,,,,
Anvers,BarbesRochechouart,,,,
Anvers,Pigalle,,,,
Argentine,CharlesdeGaulleEtoile,,,,
Argentine,PorteMaillot,,,,
ArtsetMetiers,Rambuteau,,,,
ArtsetMetiers,ReaumurSebastopol,,,,
ArtsetMetiers,Republique,,,,
ArtsetMetiers,Temple,,,,
AsnieresGennevilliersLesCourtilles,LesAgnettes,,,,
AssembleeNationale,Concorde,,,,
AssembleeNationale,Solferino,,,,
AubervilliersPantinQuatreChemins,Fortd'Aubervilliers,,,,
AubervilliersPantinQuatreChemins,PortedelaVillette,,,,
AvenueEmileZola,CharlesMichels,,,,
AvenueEmileZola,LaMottePicquetGrenelle,,,,
Avron,AlexandreDumas,,,,
Avron,Nation,,,,
Balard,Lourmel,,,,
BarbesRochechouart,Anvers,,,,
BarbesRochechouart,ChateauRouge,,,,
BarbesRochechouart,GareduNord,,,,
BarbesRochechouart,LaChapelle,,,,
BasiliquedeSaintDenis,SaintDenisPortedeParis,,,,
BasiliquedeSaintDenis,SaintDenisUniversite,,,,
Bastille,BreguetSabin,,,,
Bastille,CheminVert,,,,
Bastille,GaredeLyon,,,,
Bastille,LedruRollin,,,,
Bastille,QuaidelaRapee,,,,
Bastille,SaintPaul,,,,
BelAir,Daumesnil,,,,
BelAir,Picpus,,,,
Belleville,ColonelFabien,,,,
Belleville,Couronnes,,,,
Belleville,Goncourt,,,,
Belleville,Pyrenees,,,,
Berault,ChateaudeVincennes,,,,
Berault,SaintMande,,,,
Bercy,CourSaintEmilion,,,,
Bercy,Dugommier,,,,
Bercy,GaredeLyon,,,,
Bercy,QuaidelaGare,,,,
BibliothequeFrancoisMitterrand,CourSaintEmilion,,,,
BibliothequeFrancoisMitterrand,Olympiades,,,,
Billancourt,MarcelSembat,,,,
Billancourt,PontdeSevres,,,,
